customer_id,full_name,city,country,pets_owned,policies_owned,total_claims,total_claim_amount,total_premiums_paid
1,Johnny Gonzalez,West James,Greece,1,0,0,,
2,Daniel Adkins,North Kristen,Faroe Islands,1,1,0,,1185.45
3,Meredith Gardner,South Tiffany,Saudi Arabia,1,0,0,,
4,Sarah Logan,Port Taylormouth,Monaco,1,1,1,248.41,397.8
5,Zachary Miles,Smithport,Niue,1,2,5,2251.36,8756.85
6,Alexander Meyer,Gravesview,Armenia,0,0,0,,
7,Anthony Gonzalez,Ritterborough,Saint Kitts and Nevis,1,3,7,1801.56,4685.26
8,Chad Becker,Lake Lisa,Costa Rica,2,3,3,1563.44,5992.81
9,Peter Rose,Watsonshire,Northern Mariana Islands,2,3,2,1582.14,2216.41
10,Jennifer Garcia,Lindabury,Luxembourg,0,0,0,,
11,Joseph Wheeler,West Hector,Cape Verde,1,0,0,,
12,Sarah Garcia,Lorraineland,Croatia,3,6,6,5547.36,6540.25
13,Noah Harper,Julieborough,Nepal,1,1,2,519.5,5491.0
14,Tyler Thomas,Moorebury,Costa Rica,2,3,7,5001.59,12641.52
15,Nathan Payne,Sallyland,Macao,3,8,17,7123.41,20525.45
16,Mary Sutton,Lake Michealside,Panama,0,0,0,,
17,Debra Murray,Port Charles,Martinique,0,0,0,,
18,Michael Sandoval,Kennethport,Bouvet Island (Bouvetoya),1,2,4,1348.38,2962.8
19,Jessica Robinson,New Morgan,Colombia,1,5,10,4193.01,10688.88
20,Christina Smith,Brendafurt,Belarus,1,6,8,6864.75,5810.16
21,Lorraine Bradley,South Jessica,Czech Republic,1,1,3,3182.67,2216.97
22,James Adams,New Markville,Fiji,2,2,1,2443.22,2224.43
23,Colleen Johnson,Port Stephanie,Cayman Islands,1,1,3,1109.92,1797.12
24,Scott White,Kirbymouth,Anguilla,1,2,1,159.05,1635.55
25,Mark Russell,Barbermouth,Portugal,1,1,1,232.82,329.75
26,Logan Campbell,Randyside,Portugal,0,0,0,,
27,Jade Green,South Valerie,Greece,4,10,16,7967.36,8858.8
28,Christopher Gomez,Morantown,Chad,3,3,6,2462.11,2275.58
29,Erin Wells,Danielborough,Sudan,1,3,4,2872.9,4590.12
30,Hayley Fletcher,South Amberview,Armenia,3,8,7,5225.34,9433.63
31,Stacy Davis,Caitlynburgh,Bermuda,3,2,3,2352.63,4554.76
32,Adrian Villarreal,Mistyland,Brunei Darussalam,0,0,0,,
33,Joe Moreno,South Patrickport,Niger,2,3,4,2740.86,2827.14
34,Nicole Jones,Lake Robertport,Jamaica,1,2,5,7245.46,7331.84
35,Richard Greene,North Alicia,Central African Republic,1,2,1,342.07,2674.83
36,John Kennedy,Stevensfurt,Nigeria,3,7,8,5295.68,10440.74
37,Keith Bradley,Kayleeton,Niue,1,1,0,,681.67
38,Bethany Scott,West Douglas,Tajikistan,2,0,0,,
39,William Adams,East Antonioside,Heard Island and McDonald Islands,3,7,7,3738.24,9011.63
40,William Roth,East Elizabeth,Togo,1,0,0,,
41,Elizabeth Bowman,Brownshire,Norfolk Island,1,2,3,639.17,7468.02
42,Lydia Bernard,Lake Erin,Taiwan,1,1,1,317.66,52.76
43,Ashley Atkins,Kellyside,Martinique,1,3,4,3151.67,6897.67
44,Guy Bell,Brandonberg,Marshall Islands,1,3,9,2945.97,9881.36
45,Craig Mendoza,New Dannyborough,Ethiopia,4,5,5,6123.34,2398.12
46,Anthony Turner,West Michael,Colombia,2,4,3,3047.64,8269.88
47,Wendy Murphy,Sarahton,Finland,1,0,0,,
48,Craig Johnson,Port Christopher,Solomon Islands,2,5,9,10005.51,11245.13
49,Andres Strickland,Port Spencer,Nicaragua,0,0,0,,
50,Jonathan Larsen,West Andreshire,Saint Vincent and the Grenadines,4,5,9,4270.24,8466.47
51,Michael Estrada,North Jennifer,Comoros,1,4,6,2962.34,6953.02
52,Justin Anderson,Jonesstad,Guyana,2,3,5,2210.04,3082.09
53,Eric Greer,Sarachester,Botswana,3,6,10,5246.52,10407.19
54,Charles Chang,Alexandraburgh,Honduras,2,5,10,4339.36,3748.1
